tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
923,1/1/2016 0:00,1/1/2016 0:16,268,Howard St & Centre St,40.71910537,-73.99973337,3002,South End Ave & Liberty St,40.711512,-74.015756,22285,Subscriber,1958,1
379,1/1/2016 0:00,1/1/2016 0:07,476,E 31 St & 3 Ave,40.74394314,-73.97966069,498,Broadway & W 32 St,40.74854862,-73.98808416,17827,Subscriber,1969,1
589,1/1/2016 0:00,1/1/2016 0:10,489,10 Ave & W 28 St,40.75066386,-74.00176802,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,21997,Subscriber,1982,2
889,1/1/2016 0:01,1/1/2016 0:15,268,Howard St & Centre St,40.71910537,-73.99973337,3002,South End Ave & Liberty St,40.711512,-74.015756,22794,Subscriber,1961,2
1480,1/1/2016 0:01,1/1/2016 0:25,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,14562,Subscriber,1952,1
332,1/1/2016 0:01,1/1/2016 0:06,3104,Kent Ave & N 7 St,40.72057658,-73.96150225,389,Broadway & Berry St,40.71044554,-73.96525063,15788,Subscriber,1984,1
2321,1/1/2016 0:01,1/1/2016 0:40,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,24183,Subscriber,1963,1
694,1/1/2016 0:02,1/1/2016 0:13,268,Howard St & Centre St,40.71910537,-73.99973337,497,E 17 St & Broadway,40.73704984,-73.99009296,15747,Subscriber,1996,1
1376,1/1/2016 0:03,1/1/2016 0:26,527,E 33 St & 2 Ave,40.744023,-73.976056,259,South St & Whitehall St,40.70122128,-74.01234218,23933,Subscriber,1963,1
615,1/1/2016 0:03,1/1/2016 0:13,432,E 7 St & Avenue A,40.72621788,-73.98379855,311,Norfolk St & Broome St,40.7172274,-73.98802084,23993,Subscriber,1971,1
1770,1/1/2016 0:04,1/1/2016 0:34,3226,W 82 St & Central Park West,40.78275,-73.97137,509,9 Ave & W 22 St,40.7454973,-74.00197139,22541,Subscriber,1970,1
525,1/1/2016 0:05,1/1/2016 0:14,331,Pike St & Monroe St,40.71173107,-73.99193043,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,22193,Subscriber,1988,1
667,1/1/2016 0:05,1/1/2016 0:16,444,Broadway & W 24 St,40.7423543,-73.98915076,490,8 Ave & W 33 St,40.751551,-73.993934,18665,Subscriber,1964,1
240,1/1/2016 0:06,1/1/2016 0:10,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3168,Central Park West & W 85 St,40.78472675,-73.96961715,22174,Subscriber,1976,1
539,1/1/2016 0:07,1/1/2016 0:16,3117,Franklin St & Dupont St,40.73564,-73.95866,3104,Kent Ave & N 7 St,40.72057658,-73.96150225,15061,Subscriber,1989,1
1245,1/1/2016 0:08,1/1/2016 0:29,442,W 27 St & 7 Ave,40.746647,-73.993915,545,E 23 St & 1 Ave,40.736502,-73.97809472,24071,Subscriber,1970,1
479,1/1/2016 0:08,1/1/2016 0:16,3117,Franklin St & Dupont St,40.73564,-73.95866,3104,Kent Ave & N 7 St,40.72057658,-73.96150225,23563,Subscriber,1993,1
888,1/1/2016 0:08,1/1/2016 0:23,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,439,E 4 St & 2 Ave,40.7262807,-73.98978041,15082,Subscriber,1982,1
398,1/1/2016 0:09,1/1/2016 0:15,483,E 12 St & 3 Ave,40.73223272,-73.98889957,483,E 12 St & 3 Ave,40.73223272,-73.98889957,15721,Subscriber,1972,2
858,1/1/2016 0:09,1/1/2016 0:23,532,S 5 Pl & S 4 St,40.710451,-73.960876,401,Allen St & Rivington St,40.72019576,-73.98997825,17057,Customer,,0
